fpr,tpr,precision,recall
0.0,0.0,0.028046193730850814,1.0
0.0,0.008403361344537815,0.027817067421027818,0.9915966386554622
0.0,0.025210084033613446,0.02782362650318321,0.9915966386554622
0.0,0.03361344537815126,0.022058823529411766,0.7815126050420168
0.0,0.06722689075630252,0.02307119821384272,0.7815126050420168
0.0,0.08403361344537816,0.02308265078183172,0.7815126050420168
0.0,0.12605042016806722,0.023088381330685203,0.7815126050420168
0.0009699321047526673,0.12605042016806722,0.023163138231631384,0.7815126050420168
0.0009699321047526673,0.21008403361344538,0.02393206381883685,0.7815126050420168
0.0009699321047526673,0.29411764705882354,0.027912621359223302,0.773109243697479
0.0009699321047526673,0.31092436974789917,0.027946537059538274,0.773109243697479
0.0009699321047526673,0.33613445378151263,0.027955028866605895,0.773109243697479
0.0012124151309408342,0.33613445378151263,0.02796352583586626,0.773109243697479
0.0012124151309408342,0.35294117647058826,0.02799756542909312,0.773109243697479
0.0019398642095053346,0.35294117647058826,0.028203556100551808,0.773109243697479
0.002909796314258002,0.35294117647058826,0.02842137781896818,0.773109243697479
0.0033947623666343357,0.35294117647058826,0.028553693358162633,0.773109243697479
0.004122211445198836,0.35294117647058826,0.028562558211735485,0.773109243697479
0.004364694471387003,0.35294117647058826,0.029077117572692796,0.773109243697479
0.004849660523763337,0.35294117647058826,0.029132362254591513,0.773109243697479
0.005092143549951503,0.35294117647058826,0.029336734693877552,0.773109243697479
0.006304558680892337,0.35294117647058826,0.02934609250398724,0.773109243697479
0.006789524733268671,0.35294117647058826,0.02944,0.773109243697479
0.006789524733268671,0.3697478991596639,0.029734970911441498,0.773109243697479
0.006789524733268671,0.37815126050420167,0.029754204398447608,0.773109243697479
0.006789524733268671,0.42857142857142855,0.02990897269180754,0.773109243697479
0.006789524733268671,0.5630252100840336,0.02992843201040989,0.773109243697479
0.013821532492725509,0.5630252100840336,0.030303030303030304,0.773109243697479
0.014306498545101843,0.5630252100840336,0.030313014827018123,0.773109243697479
0.014791464597478177,0.5630252100840336,0.030738389575676577,0.773109243697479
0.01624636275460718,0.5630252100840336,0.030841434797184042,0.773109243697479
0.016488845780795344,0.5630252100840336,0.03163686382393398,0.773109243697479
0.017216294859359844,0.5630252100840336,0.03164774681802546,0.773109243697479
0.020368574199806012,0.5630252100840336,0.03166953528399311,0.773109243697479
0.020853540252182348,0.5630252100840336,0.03203342618384401,0.773109243697479
0.02303588748787585,0.5630252100840336,0.03206692227256884,0.773109243697479
0.02352085354025218,0.5630252100840336,0.03207810320781032,0.773109243697479
0.02449078564500485,0.5630252100840336,0.032089291942797346,0.773109243697479
0.024975751697381185,0.5630252100840336,0.03221288515406162,0.773109243697479
0.02521823472356935,0.5630252100840336,0.03244005641748942,0.773109243697479
0.02594568380213385,0.5630252100840336,0.032451499118165784,0.773109243697479
0.027158098933074686,0.5630252100840336,0.0325433321542271,0.773109243697479
0.028370514064015518,0.5630252100840336,0.03255484784147204,0.773109243697479
0.030067895247332686,0.5630252100840336,0.03256637168141593,0.773109243697479
0.03443258971871969,0.5630252100840336,0.03260099220411056,0.773109243697479
0.03516003879728419,0.5630252100840336,0.032647267565649396,0.773109243697479
0.03564500484966052,0.5630252100840336,0.0326588569400071,0.773109243697479
